points,value,error
718, 0.5223, -0.0012
719, 0.5090, -0.0145
720, 0.4972, -0.0263
721, 0.5270, 0.0035
722, 0.4903, -0.0332
723, 0.5297, 0.0062
724, 0.5069, -0.0166
725, 0.5517, 0.0282
726, 0.4904, -0.0331
727, 0.5172, -0.0063
728, 0.5357, 0.0122
729, 0.5130, -0.0105
730, 0.5438, 0.0203
731, 0.5089, -0.0146
732, 0.5287, 0.0052
733, 0.5143, -0.0092
734, 0.5436, 0.0201
735, 0.5156, -0.0079
736, 0.5245, 0.0010
737, 0.5129, -0.0106
738, 0.5257, 0.0022
739, 0.5386, 0.0151
740, 0.4946, -0.0289
741, 0.5425, 0.0190
742, 0.5404, 0.0169
743, 0.5559, 0.0324
744, 0.5013, -0.0222
745, 0.5329, 0.0094
746, 0.5255, 0.0020
747, 0.5127, -0.0108
748, 0.5307, 0.0072
749, 0.5180, -0.0055
750, 0.5040, -0.0195
751, 0.5486, 0.0251
752, 0.5093, -0.0142
753, 0.5432, 0.0197
754, 0.5637, 0.0402
755, 0.5457, 0.0222
756, 0.5278, 0.0043
757, 0.5680, 0.0445
758, 0.5317, 0.0082
759, 0.5204, -0.0031
760, 0.5355, 0.0120
761, 0.5572, 0.0337
762, 0.5026, -0.0209
763, 0.5085, -0.0150
764, 0.5131, -0.0104
765, 0.5582, 0.0347
766, 0.5261, 0.0026
767, 0.5346, 0.0111
768, 0.5182, -0.0053
769, 0.5540, 0.0305
770, 0.5221, -0.0014
771, 0.5266, 0.0031
772, 0.5065, -0.0170
773, 0.5097, -0.0138
774, 0.5142, -0.0093
775, 0.5084, -0.0151
776, 0.4858, -0.0377
777, 0.5328, 0.0093
778, 0.5476, 0.0241
779, 0.5045, -0.0190
780, 0.5154, -0.0081
781, 0.5262, 0.0027
782, 0.5217, -0.0018
783, 0.5160, -0.0075
784, 0.5140, -0.0095
785, 0.5541, 0.0306
786, 0.5369, 0.0134
787, 0.5311, 0.0076
788, 0.5254, 0.0019
789, 0.5006, -0.0229
790, 0.5291, 0.0056
791, 0.5158, -0.0077
792, 0.4924, -0.0311
793, 0.5536, 0.0301
794, 0.5139, -0.0096
795, 0.5157, -0.0078
796, 0.5151, -0.0084
797, 0.5082, -0.0153
798, 0.5326, 0.0091
799, 0.4894, -0.0341
800, 0.5450, 0.0215
801, 0.5456, 0.0221
802, 0.5374, 0.0139
803, 0.5106, -0.0129
804, 0.5299, 0.0064
805, 0.5379, 0.0144
806, 0.5385, 0.0150
807, 0.5068, -0.0167
808, 0.5507, 0.0272
809, 0.4895, -0.0340
810, 0.5272, 0.0037
811, 0.5339, 0.0104
812, 0.5345, 0.0110
813, 0.5301, 0.0066
814, 0.5577, 0.0342
815, 0.5227, -0.0008
816, 0.4804, -0.0431
817, 0.5239, 0.0004
818, 0.5306, 0.0071
819, 0.5116, -0.0119
820, 0.4988, -0.0247
821, 0.5055, -0.0180
822, 0.5061, -0.0174
823, 0.5164, -0.0071
824, 0.5061, -0.0174
825, 0.5418, 0.0183
826, 0.5218, -0.0017
827, 0.5030, -0.0205
828, 0.5386, 0.0151
829, 0.5163, -0.0072
830, 0.5145, -0.0090
831, 0.5379, 0.0144
832, 0.5300, 0.0065
833, 0.5294, 0.0059
834, 0.5132, -0.0103
835, 0.5006, -0.0229
836, 0.4892, -0.0343
837, 0.5460, 0.0225
838, 0.4881, -0.0354
839, 0.5137, -0.0098
840, 0.5119, -0.0116
841, 0.5315, 0.0080
842, 0.5321, 0.0086
843, 0.5291, 0.0056
844, 0.5379, 0.0144
845, 0.5349, 0.0114
846, 0.4988, -0.0247
847, 0.5502, 0.0267
848, 0.4965, -0.0270
849, 0.5383, 0.0148
850, 0.5247, 0.0012
851, 0.5065, -0.0170
852, 0.5070, -0.0165
853, 0.5287, 0.0052
854, 0.5094, -0.0141
855, 0.5123, -0.0112
856, 0.5140, -0.0095
857, 0.5263, 0.0028
858, 0.5513, 0.0278
859, 0.5274, 0.0039
860, 0.5419, 0.0184
861, 0.5145, -0.0090
862, 0.5174, -0.0061
863, 0.5330, 0.0095
864, 0.5463, 0.0228
865, 0.5214, -0.0021
866, 0.5196, -0.0039
867, 0.5029, -0.0206
868, 0.5115, -0.0120
869, 0.5754, 0.0519
870, 0.5310, 0.0075
871, 0.5121, -0.0114
872, 0.5126, -0.0109
873, 0.5189, -0.0046
874, 0.5378, 0.0143
875, 0.5143, -0.0092
876, 0.5023, -0.0212
877, 0.5302, 0.0067
878, 0.5638, 0.0403
879, 0.5017, -0.0218
880, 0.5375, 0.0140
881, 0.5221, -0.0014
882, 0.5091, -0.0144
883, 0.5119, -0.0116
884, 0.5226, -0.0009
885, 0.5051, -0.0184
886, 0.5293, 0.0058
887, 0.5141, -0.0094
888, 0.5304, 0.0069
889, 0.4949, -0.0286
890, 0.5022, -0.0213
891, 0.5410, 0.0175
892, 0.5359, 0.0124
893, 0.5353, 0.0118
894, 0.5436, 0.0201
895, 0.5620, 0.0385
896, 0.5246, 0.0011
897, 0.4972, -0.0263
898, 0.5234, -0.0001
899, 0.5295, 0.0060
900, 0.5456, 0.0221
901, 0.5105, -0.0130
902, 0.5687, 0.0452
903, 0.5460, 0.0225
904, 0.5277, 0.0042
905, 0.5337, 0.0102
906, 0.5011, -0.0224
907, 0.5458, 0.0223
908, 0.5198, -0.0037
909, 0.5204, -0.0031
910, 0.5429, 0.0194
911, 0.5313, 0.0078
912, 0.5088, -0.0147
913, 0.5257, 0.0022
914, 0.5383, 0.0148
915, 0.5071, -0.0164
916, 0.5229, -0.0006
917, 0.5442, 0.0207
918, 0.5479, 0.0244
919, 0.5190, -0.0045
920, 0.5065, -0.0170
921, 0.5233, -0.0002
922, 0.5174, -0.0061
923, 0.5341, 0.0106
924, 0.5346, 0.0111
925, 0.5168, -0.0067
926, 0.5108, -0.0127
927, 0.5329, 0.0094
928, 0.5259, 0.0024
929, 0.5059, -0.0176
930, 0.4925, -0.0310
931, 0.4984, -0.0251
932, 0.5097, -0.0138
933, 0.4877, -0.0358
934, 0.5353, 0.0118
935, 0.5166, -0.0069
936, 0.5385, 0.0150
937, 0.5123, -0.0112
938, 0.5267, 0.0032
939, 0.5367, 0.0132
940, 0.5553, 0.0318
941, 0.5260, 0.0025
942, 0.5318, 0.0083
943, 0.5239, 0.0004
944, 0.5328, 0.0093
945, 0.5048, -0.0187
946, 0.5032, -0.0203
